sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-04-02;8,87;8,89;8,85;8,995;8,79;8,885;8,905;2209113;19673736,85;1842;
2020-04-01;8,805;8,83;8,90;9,04;8,695;8,815;8,817;3397676;29958356,1;2041;
2020-03-31;8,78;8,795;8,95;9,065;8,73;8,775;8,879;3776559;33536155,35;2589;
2020-03-30;8,745;8,765;8,575;8,795;8,25;8,795;8,53;4478056;38195787,23;2953;
2020-03-27;8,445;8,465;8,77;8,80;8,41;8,41;8,554;3049012;26079929,26;2272;
2020-03-26;8,575;8,605;8,80;8,995;8,325;8,62;8,637;6300163;54409857,72;3597;
2020-03-25;8,80;8,82;9,00;9,15;8,59;8,81;8,838;4505420;39810495,81;3403;
2020-03-24;8,61;8,66;8,80;8,94;8,39;8,69;8,606;6364877;54778404,65;3354;
2020-03-23;8,435;8,48;8,78;8,78;8,215;8,44;8,402;2608778;21917577,76;2298;
2020-03-20;8,74;8,76;9,00;9,065;8,48;8,78;8,758;6249932;54741901,97;3592;
2020-03-19;8,155;8,195;8,50;8,60;7,785;8,215;8,169;6062879;49521563,23;3667;
2020-03-18;8,29;8,32;9,59;10,08;7,965;8,20;8,744;11144474;97422094,56;7120;
2020-03-17;8,435;8,48;8,50;8,815;7,955;8,445;8,437;7447856;62852531,46;4904;
2020-03-16;8,13;8,195;7,975;8,585;7,435;8,17;7,965;8588123;68409986,49;6026;
2020-03-13;8,81;8,85;8,25;9,535;8,11;8,795;8,933;9097193;81248512,64;5745;
2020-03-12;8,35;8,37;8,63;8,65;7,97;8,29;8,205;7523871;61728801,05;5451;
2020-03-11;9,16;9,19;9,30;9,46;8,92;9,12;9,223;2989319;27572643,52;2711;
2020-03-10;9,285;9,30;9,015;9,95;9,015;9,20;9,498;8281567;78654445,35;5269;
2020-03-09;9,015;9,06;8,90;9,355;8,25;8,90;9,005;7561403;68093702,47;5076;
2020-03-06;9,265;9,325;8,79;9,42;8,325;9,375;8,803;13243619;116589036,52;6412;
2020-03-05;8,875;8,89;9,60;9,75;8,735;8,79;9,011;11362796;102384107,36;6752;
2020-03-04;9,52;9,55;9,79;9,82;9,40;9,535;9,561;6762075;64646617,27;4705;
2020-03-03;9,81;9,83;10,00;10,26;9,65;9,745;9,851;9233472;90958387,83;6023;
2020-03-02;9,865;9,88;10,56;10,59;9,58;9,86;9,959;8576298;85403861,49;5606;
2020-02-28;10,05;10,07;9,57;10,74;9,05;10,01;10,033;14025024;140702756,74;8315;
2020-02-27;9,75;9,78;10,75;10,75;9,385;9,615;9,819;17365917;170395289,63;10525;
2020-02-26;10,80;10,82;11,91;11,95;10,62;10,75;10,967;15044581;164987583,79;8420;
2020-02-25;12,10;12,14;12,40;12,75;11,88;12,11;12,182;6656837;81089736,11;4276;
2020-02-24;12,44;12,46;13,38;13,40;12,35;12,39;12,662;6585139;83447458,36;4385;
2020-02-21;13,71;13,73;14,04;14,04;13,68;13,68;13,795;2255819;31118039,49;1675;
2020-02-20;14,03;14,05;14,10;14,24;13,92;14,03;14,094;2265379;31928487,7;1366;
2020-02-19;14,09;14,10;13,92;14,16;13,85;14,11;14,034;2077126;29151036,82;1392;
2020-02-18;13,90;13,92;14,09;14,09;13,78;13,85;13,875;2318518;32169703,74;1458;
2020-02-17;14,07;14,09;14,12;14,26;14,01;14,09;14,121;1629753;23012932,51;1166;
2020-02-14;14,12;14,13;14,02;14,41;14,02;14,13;14,233;1717409;24443775,18;1253;
2020-02-13;14,02;14,04;14,18;14,42;14,00;14,02;14,17;2427917;34402085,42;1604;
2020-02-12;14,19;14,21;14,13;14,44;14,06;14,18;14,245;2562463;36501050,43;1859;
2020-02-11;14,12;14,13;13,74;14,14;13,74;14,14;13,992;2178971;30488288,45;1398;
2020-02-10;13,77;13,79;13,98;14,00;13,71;13,73;13,793;1773029;24456055,9;1207;
2020-02-07;13,89;13,90;14,16;14,16;13,71;13,92;13,86;2773775;38445458,68;1996;
2020-02-06;14,00;14,03;13,98;14,32;13,95;13,99;14,083;2663901;37515372,33;1426;
2020-02-05;13,98;14,00;14,14;14,55;13,90;13,98;14,178;3696413;52405287,16;2103;
2020-02-04;13,98;14,00;14,07;14,33;13,87;14,00;14,081;2637702;37140304,92;1516;
2020-02-03;13,95;13,97;13,80;14,00;13,46;14,00;13,776;2927186;40323650,82;1848;
